,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentDanger,HouleDanger,Ligne_Frioul-Vieux Port,Ligne_IF-Frioul,Ligne_IF-Vieux Port,Ligne_Vieux Port-Frioul,Ligne_Vieux Port-IF,Annulation
30964,13.0,0.7,1.2,4.0,2,25.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
30965,9.0,0.7,1.2,4.0,2,22.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30966,9.0,0.7,1.2,4.0,2,22.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
30967,12.0,0.6,1.0,4.0,2,25.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30968,12.0,0.6,1.0,4.0,2,25.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
30969,12.0,0.6,1.0,4.0,2,25.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30970,12.0,0.6,1.0,4.0,2,25.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30971,8.0,0.6,1.2,4.0,2,21.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
30972,8.0,0.6,1.2,4.0,2,21.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30973,8.0,0.6,1.2,4.0,2,21.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30974,8.0,0.6,1.2,4.0,2,21.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30975,9.0,0.5,0.9,4.0,1,25.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30976,9.0,0.5,0.9,4.0,1,25.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30977,6.0,0.5,0.9,4.0,1,21.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30978,6.0,0.4,0.8,4.0,1,21.0,0,0,1,1.0,0.0,0.0,0.0,0.0,0
30979,9.0,0.4,0.8,4.0,1,23.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0
30980,8.0,0.3,0.6,4.0,1,23.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30981,4.0,0.3,0.6,4.0,1,20.0,19,1,0,0.0,0.0,0.0,1.0,0.0,0
